# sweepparam	measured1
# "sweepparam"	"measured1"
# 928
2.8125	-1.26115e+06
2.81897	-1.26102e+06
2.82543	-1.25554e+06
2.8319	-1.25167e+06
2.83836	-1.25403e+06
2.84483	-1.25429e+06
2.85129	-1.25541e+06
2.85776	-1.25702e+06
2.86422	-1.25789e+06
2.87069	-1.2525e+06
2.87716	-1.2367e+06
2.88362	-1.24032e+06
2.89009	-1.25629e+06
2.89655	-1.25008e+06
2.90302	-1.2432e+06
2.90948	-1.24569e+06
2.91595	-1.24566e+06
2.92241	-1.23736e+06
2.92888	-1.23431e+06
2.93534	-1.24378e+06
2.94181	-1.24366e+06
2.94828	-1.24046e+06
2.95474	-1.24374e+06
2.96121	-1.24137e+06
2.96767	-1.23024e+06
2.97414	-1.22125e+06
2.9806	-1.23647e+06
2.98707	-1.23459e+06
2.99353	-1.23247e+06
