# mwsource_frequency	sweepparam	measured
# "mwsource_frequency"	"sweepparam"	"measured"
# 100	928
4e+10	0.62069	-1.30091e+06
4e+10	0.627155	-1.30093e+06
4e+10	0.633621	-1.30775e+06
4e+10	0.640086	-1.3145e+06
4e+10	0.646552	-1.3197e+06
4e+10	0.653017	-1.3251e+06
4e+10	0.659483	-1.32889e+06
4e+10	0.665948	-1.32239e+06
4e+10	0.672414	-1.33356e+06
4e+10	0.678879	-1.3313e+06
4e+10	0.685345	-1.33298e+06
4e+10	0.69181	-1.34228e+06
4e+10	0.698276	-1.33258e+06
4e+10	0.704741	-1.33938e+06
4e+10	0.711207	-1.34448e+06
4e+10	0.717672	-1.34528e+06
4e+10	0.724138	-1.34929e+06
4e+10	0.730603	-1.35558e+06
4e+10	0.737069	-1.36066e+06
4e+10	0.743534	-1.36173e+06
4e+10	0.75	-1.36251e+06
4e+10	0.756466	-1.35469e+06
4e+10	0.762931	-1.3582e+06
4e+10	0.769397	-1.36802e+06
4e+10	0.775862	-1.36899e+06
4e+10	0.782328	-1.36677e+06
4e+10	0.788793	-1.37159e+06
4e+10	0.795259	-1.38346e+06
4e+10	0.801724	-1.38365e+06
4e+10	0.80819	-1.38079e+06
4e+10	0.814655	-1.37763e+06
4e+10	0.821121	-1.38346e+06
4e+10	0.827586	-1.3866e+06
4e+10	0.834052	-1.39006e+06
4e+10	0.840517	-1.38758e+06
4e+10	0.846983	-1.40184e+06
4e+10	0.853448	-1.39802e+06
4e+10	0.859914	-1.38579e+06
4e+10	0.866379	-1.38484e+06
4e+10	0.872845	-1.38894e+06
4e+10	0.87931	-1.39213e+06
4e+10	0.885776	-1.38433e+06
4e+10	0.892241	-1.39194e+06
4e+10	0.898707	-1.39942e+06
4e+10	0.905172	-1.3965e+06
4e+10	0.911638	-1.4023e+06
4e+10	0.918103	-1.39105e+06
4e+10	0.924569	-1.39901e+06
4e+10	0.931034	-1.40084e+06
4e+10	0.9375	-1.39705e+06
4e+10	0.943966	-1.39994e+06
4e+10	0.950431	-1.39991e+06
4e+10	0.956897	-1.40044e+06
4e+10	0.963362	-1.40568e+06
4e+10	0.969828	-1.3972e+06
4e+10	0.976293	-1.39846e+06
4e+10	0.982759	-1.40681e+06
4e+10	0.989224	-1.40548e+06
4e+10	0.99569	-1.41117e+06
4e+10	1.00216	-1.41552e+06
4e+10	1.00862	-1.41395e+06
4e+10	1.01509	-1.41079e+06
4e+10	1.02155	-1.40814e+06
4e+10	1.02802	-1.41382e+06
4e+10	1.03448	-1.41869e+06
4e+10	1.04095	-1.41043e+06
4e+10	1.04741	-1.4048e+06
4e+10	1.05388	-1.40516e+06
4e+10	1.06034	-1.40472e+06
4e+10	1.06681	-1.418e+06
4e+10	1.07328	-1.41043e+06
4e+10	1.07974	-1.40753e+06
4e+10	1.08621	-1.40348e+06
4e+10	1.09267	-1.40258e+06
4e+10	1.09914	-1.41228e+06
4e+10	1.1056	-1.41754e+06
4e+10	1.11207	-1.41202e+06
4e+10	1.11853	-1.41704e+06
4e+10	1.125	-1.41450e+06
4e+10	1.13147	-1.41511e+06
4e+10	1.13793	-1.4149e+06
4e+10	1.1444	-1.41188e+06
4e+10	1.15086	-1.41505e+06
4e+10	1.15733	-1.41135e+06
4e+10	1.16379	-1.41489e+06
4e+10	1.17026	-1.41585e+06
4e+10	1.17672	-1.41370e+06
4e+10	1.18319	-1.41246e+06
4e+10	1.18966	-1.41327e+06
4e+10	1.19612	-1.41927e+06
4e+10	1.20259	-1.4063e+06
4e+10	1.20905	-1.40541e+06
4e+10	1.21552	-1.42412e+06
4e+10	1.22198	-1.41592e+06
4e+10	1.22845	-1.41907e+06
4e+10	1.23491	-1.41713e+06
4e+10	1.24138	-1.41759e+06
4e+10	1.24784	-1.41828e+06
4e+10	1.25431	-1.40827e+06
4e+10	1.26078	-1.40534e+06
4e+10	1.26724	-1.40738e+06
4e+10	1.27371	-1.4114e+06
4e+10	1.28017	-1.41094e+06
4e+10	1.28664	-1.40916e+06
4e+10	1.2931	-1.40487e+06
4e+10	1.29957	-1.41078e+06
4e+10	1.30603	-1.4101e+06
4e+10	1.3125	-1.40609e+06
4e+10	1.31897	-1.40476e+06
4e+10	1.32543	-1.40987e+06
4e+10	1.3319	-1.40832e+06
4e+10	1.33836	-1.40204e+06
4e+10	1.34483	-1.40669e+06
4e+10	1.35129	-1.40227e+06
4e+10	1.35776	-1.40655e+06
4e+10	1.36422	-1.39954e+06
4e+10	1.37069	-1.40611e+06
4e+10	1.37716	-1.40719e+06
4e+10	1.38362	-1.40309e+06
4e+10	1.39009	-1.40257e+06
4e+10	1.39655	-1.40103e+06
4e+10	1.40302	-1.40945e+06
4e+10	1.40948	-1.4051e+06
4e+10	1.41595	-1.40882e+06
4e+10	1.42241	-1.40309e+06
4e+10	1.42888	-1.40853e+06
4e+10	1.43534	-1.40544e+06
4e+10	1.44181	-1.40122e+06
4e+10	1.44828	-1.40351e+06
4e+10	1.45474	-1.40473e+06
4e+10	1.46121	-1.40325e+06
4e+10	1.46767	-1.40346e+06
4e+10	1.47414	-1.39918e+06
4e+10	1.4806	-1.39789e+06
4e+10	1.48707	-1.40517e+06
4e+10	1.49353	-1.39356e+06
4e+10	1.5	-1.40015e+06
4e+10	1.50647	-1.40825e+06
4e+10	1.51293	-1.40627e+06
4e+10	1.5194	-1.40339e+06
4e+10	1.52586	-1.40284e+06
4e+10	1.53233	-1.40016e+06
4e+10	1.53879	-1.39359e+06
4e+10	1.54526	-1.39778e+06
4e+10	1.55172	-1.40225e+06
4e+10	1.55819	-1.40072e+06
4e+10	1.56466	-1.39228e+06
4e+10	1.57112	-1.39407e+06
4e+10	1.57759	-1.39021e+06
4e+10	1.58405	-1.39325e+06
4e+10	1.59052	-1.39376e+06
4e+10	1.59698	-1.39056e+06
4e+10	1.60345	-1.38886e+06
4e+10	1.60991	-1.39849e+06
4e+10	1.61638	-1.39658e+06
4e+10	1.62284	-1.3897e+06
4e+10	1.62931	-1.38922e+06
4e+10	1.63578	-1.3901e+06
4e+10	1.64224	-1.38634e+06
4e+10	1.64871	-1.39291e+06
4e+10	1.65517	-1.39406e+06
4e+10	1.66164	-1.38096e+06
4e+10	1.6681	-1.38696e+06
4e+10	1.67457	-1.39429e+06
4e+10	1.68103	-1.37963e+06
4e+10	1.6875	-1.3762e+06
4e+10	1.69397	-1.37983e+06
4e+10	1.70043	-1.38254e+06
4e+10	1.7069	-1.39102e+06
4e+10	1.71336	-1.39579e+06
4e+10	1.71983	-1.38343e+06
4e+10	1.72629	-1.37184e+06
4e+10	1.73276	-1.37527e+06
4e+10	1.73922	-1.3793e+06
4e+10	1.74569	-1.37438e+06
4e+10	1.75216	-1.38411e+06
4e+10	1.75862	-1.37487e+06
4e+10	1.76509	-1.3744e+06
4e+10	1.77155	-1.37902e+06
4e+10	1.77802	-1.37875e+06
4e+10	1.78448	-1.37816e+06
4e+10	1.79095	-1.37405e+06
4e+10	1.79741	-1.37314e+06
4e+10	1.80388	-1.36982e+06
4e+10	1.81034	-1.37042e+06
4e+10	1.81681	-1.37623e+06
4e+10	1.82328	-1.37215e+06
4e+10	1.82974	-1.37668e+06
4e+10	1.83621	-1.37644e+06
4e+10	1.84267	-1.36877e+06
4e+10	1.84914	-1.36986e+06
4e+10	1.8556	-1.37406e+06
4e+10	1.86207	-1.37196e+06
4e+10	1.86853	-1.37053e+06
4e+10	1.875	-1.37249e+06
4e+10	1.88147	-1.37143e+06
4e+10	1.88793	-1.3616e+06
4e+10	1.8944	-1.36482e+06
4e+10	1.90086	-1.36912e+06
4e+10	1.90733	-1.37621e+06
4e+10	1.91379	-1.36662e+06
4e+10	1.92026	-1.36054e+06
4e+10	1.92672	-1.35401e+06
4e+10	1.93319	-1.36014e+06
4e+10	1.93966	-1.36005e+06
4e+10	1.94612	-1.36428e+06
4e+10	1.95259	-1.36567e+06
4e+10	1.95905	-1.35358e+06
4e+10	1.96552	-1.36032e+06
4e+10	1.97198	-1.36093e+06
4e+10	1.97845	-1.36838e+06
4e+10	1.98491	-1.35512e+06
4e+10	1.99138	-1.35038e+06
4e+10	1.99784	-1.35188e+06
4e+10	2.00431	-1.3579e+06
4e+10	2.01078	-1.36522e+06
4e+10	2.01724	-1.3597e+06
4e+10	2.02371	-1.34315e+06
4e+10	2.03017	-1.34428e+06
4e+10	2.03664	-1.34885e+06
4e+10	2.0431	-1.35635e+06
4e+10	2.04957	-1.3453e+06
4e+10	2.05603	-1.33941e+06
4e+10	2.0625	-1.34429e+06
4e+10	2.06897	-1.34005e+06
4e+10	2.07543	-1.33896e+06
4e+10	2.0819	-1.33242e+06
4e+10	2.08836	-1.3401e+06
4e+10	2.09483	-1.35049e+06
4e+10	2.10129	-1.3447e+06
4e+10	2.10776	-1.34378e+06
4e+10	2.11422	-1.35183e+06
4e+10	2.12069	-1.33804e+06
4e+10	2.12716	-1.34173e+06
4e+10	2.13362	-1.33924e+06
4e+10	2.14009	-1.33947e+06
4e+10	2.14655	-1.33754e+06
4e+10	2.15302	-1.32621e+06
4e+10	2.15948	-1.3282e+06
4e+10	2.16595	-1.32816e+06
4e+10	2.17241	-1.32567e+06
4e+10	2.17888	-1.32114e+06
4e+10	2.18534	-1.32995e+06
4e+10	2.19181	-1.34281e+06
4e+10	2.19828	-1.34101e+06
4e+10	2.20474	-1.32474e+06
4e+10	2.21121	-1.32093e+06
4e+10	2.21767	-1.32838e+06
4e+10	2.22414	-1.33903e+06
4e+10	2.2306	-1.33823e+06
4e+10	2.23707	-1.31372e+06
4e+10	2.24353	-1.3098e+06
4e+10	2.25	-1.31781e+06
4e+10	2.25647	-1.31380e+06
4e+10	2.26293	-1.31585e+06
4e+10	2.2694	-1.32142e+06
4e+10	2.27586	-1.32715e+06
4e+10	2.28233	-1.31502e+06
4e+10	2.28879	-1.31396e+06
4e+10	2.29526	-1.32199e+06
4e+10	2.30172	-1.32416e+06
4e+10	2.30819	-1.32123e+06
4e+10	2.31466	-1.32119e+06
4e+10	2.32112	-1.32585e+06
4e+10	2.32759	-1.32627e+06
4e+10	2.33405	-1.32518e+06
4e+10	2.34052	-1.3209e+06
4e+10	2.34698	-1.31917e+06
4e+10	2.35345	-1.32341e+06
4e+10	2.35991	-1.3157e+06
4e+10	2.36638	-1.31064e+06
4e+10	2.37284	-1.30983e+06
4e+10	2.37931	-1.31056e+06
4e+10	2.38578	-1.31015e+06
4e+10	2.39224	-1.2991e+06
4e+10	2.39871	-1.30244e+06
