# sweepparam	measured1
# "sweepparam"	"measured1"
# 928
4.82759	19201
4.83836	20832
4.84914	18695
4.85991	21285
4.87069	14823
4.88147	23189
4.89224	15177
4.90302	16583
4.91379	23048
4.92457	20933
4.93534	28166
4.94612	28068
4.9569	24952
4.96767	16478
4.97845	20939
4.98922	23099
