# stepparam	sweepparam	measured
# "stepparam"	"sweepparam"	"measured"
# 85	84
-26.4706	-16.4286	-4.34879e+06
-26.4706	-15.7143	-4.3419e+06
-26.4706	-15	-4.3403e+06
-26.4706	-14.2857	-4.33492e+06
-26.4706	-13.5714	-4.32534e+06
-26.4706	-12.8571	-4.32914e+06
-26.4706	-12.1429	-4.32291e+06
-26.4706	-11.4286	-4.30915e+06
-26.4706	-10.7143	-4.31333e+06
-26.4706	-10	-4.31076e+06
-26.4706	-9.28571	-4.29667e+06
-26.4706	-8.57143	-4.28062e+06
-26.4706	-7.85714	-4.28460e+06
-26.4706	-7.14286	-4.29044e+06
-26.4706	-6.42857	-4.29396e+06
-26.4706	-5.71429	-4.36716e+06
-26.4706	-5	-4.50823e+06
-26.4706	-4.28571	-4.59859e+06
-26.4706	-3.57143	-4.65142e+06
-26.4706	-2.85714	-4.67388e+06
-26.4706	-2.14286	-4.68073e+06
-26.4706	-1.42857	-4.66636e+06
-26.4706	-0.714286	-4.67924e+06
-26.4706	0	-4.68416e+06
-26.4706	0.714286	-4.68374e+06
-26.4706	1.42857	-4.68254e+06
-26.4706	2.14286	-4.68187e+06
-26.4706	2.85714	-4.67689e+06
-26.4706	3.57143	-4.67653e+06
-26.4706	4.28571	-4.67198e+06
-26.4706	5	-4.67905e+06
-26.4706	5.71429	-4.67568e+06
-26.4706	6.42857	-4.66481e+06
-26.4706	7.14286	-4.66453e+06
-26.4706	7.85714	-4.66942e+06
-26.4706	8.57143	-4.66388e+06
-26.4706	9.28571	-4.6516e+06
-26.4706	10	-4.65814e+06
-26.4706	10.7143	-4.65683e+06
-26.4706	11.4286	-4.64768e+06
-26.4706	12.1429	-4.64574e+06
-26.4706	12.8571	-4.65048e+06
-26.4706	13.5714	-4.63663e+06
-26.4706	14.2857	-4.63897e+06
-26.4706	15	-4.63504e+06
-26.4706	15.7143	-4.64061e+06
-26.4706	16.4286	-4.62602e+06
-26.4706	17.1429	-4.61227e+06
-26.4706	17.8571	-4.62993e+06
-26.4706	18.5714	-4.62465e+06
-26.4706	19.2857	-4.60257e+06
-26.4706	20	-4.60594e+06
-26.4706	20.7143	-4.59849e+06
-26.4706	21.4286	-4.59198e+06
-26.4706	22.1429	-4.5751e+06
-26.4706	22.8571	-4.56243e+06
-26.4706	23.5714	-4.55021e+06
-26.4706	24.2857	-4.53927e+06
-26.4706	25	-4.52948e+06
-26.4706	25.7143	-4.50941e+06
-26.4706	26.4286	-4.49217e+06
-26.4706	27.1429	-4.48372e+06
-26.4706	27.8571	-4.48264e+06
-26.4706	28.5714	-4.46635e+06
-26.4706	29.2857	-4.44982e+06

-25.7647	-30	-4.51955e+06
-25.7647	-29.2857	-4.48195e+06
-25.7647	-28.5714	-4.43501e+06
-25.7647	-27.8571	-4.4107e+06
