# mwsource_frequency	sweepparam	measured
# "mwsource_frequency"	"sweepparam"	"measured"
# 100	928
4e+10	3.13578	-39883
4e+10	3.14655	-37227
4e+10	3.15733	-41015
4e+10	3.1681	-41693
4e+10	3.17888	-42952
4e+10	3.18966	-36490
4e+10	3.20043	-44667
4e+10	3.21121	-39864
4e+10	3.22198	-39095
4e+10	3.23276	-47975
4e+10	3.24353	-44306
4e+10	3.25431	-41176
4e+10	3.26509	-33311
4e+10	3.27586	-35955
4e+10	3.28664	-40253
4e+10	3.29741	-40089
4e+10	3.30819	-48837
4e+10	3.31897	-38796
4e+10	3.32974	-38476
4e+10	3.34052	-43971
4e+10	3.35129	-47358
4e+10	3.36207	-54571
4e+10	3.37284	-54158
4e+10	3.38362	-45297
4e+10	3.3944	-43687
4e+10	3.40517	-48879
4e+10	3.41595	-45508
4e+10	3.42672	-51943
4e+10	3.4375	-51879
4e+10	3.44828	-45216
4e+10	3.45905	-40934
4e+10	3.46983	-50898
4e+10	3.4806	-51812
4e+10	3.49138	-48220
4e+10	3.50216	-45590
4e+10	3.51293	-50839
4e+10	3.52371	-49526
4e+10	3.53448	-47166
4e+10	3.54526	-46023
4e+10	3.55603	-39635
4e+10	3.56681	-38787
4e+10	3.57759	-41679
4e+10	3.58836	-51465
4e+10	3.59914	-52283
4e+10	3.60991	-56898
4e+10	3.62069	-51592
4e+10	3.63147	-47942
4e+10	3.64224	-52151
4e+10	3.65302	-46646
4e+10	3.66379	-41048
4e+10	3.67457	-41758
4e+10	3.68534	-45727
4e+10	3.69612	-41376
4e+10	3.7069	-38554
4e+10	3.71767	-46518
4e+10	3.72845	-54698
4e+10	3.73922	-53555
4e+10	3.75	-50563
4e+10	3.76078	-45049
4e+10	3.77155	-45570
4e+10	3.78233	-40416
4e+10	3.7931	-46231
4e+10	3.80388	-44020
4e+10	3.81466	-48161
4e+10	3.82543	-46979
4e+10	3.83621	-44736
4e+10	3.84698	-49093
4e+10	3.85776	-44900
4e+10	3.86853	-38389
4e+10	3.87931	-46956
4e+10	3.89009	-53903
4e+10	3.90086	-46896
4e+10	3.91164	-36570
4e+10	3.92241	-39206
4e+10	3.93319	-45897
4e+10	3.94397	-52308
4e+10	3.95474	-58154
4e+10	3.96552	-52951
4e+10	3.97629	-48701
4e+10	3.98707	-45405
4e+10	3.99784	-38881
4e+10	4.00862	-42911
4e+10	4.0194	-46064
4e+10	4.03017	-39479
4e+10	4.04095	-41629
4e+10	4.05172	-39873
4e+10	4.0625	-48815
4e+10	4.07328	-43189
4e+10	4.08405	-45164
4e+10	4.09483	-47861
4e+10	4.1056	-49998
4e+10	4.11638	-52056
4e+10	4.12716	-55049
4e+10	4.13793	-46440
4e+10	4.14871	-46471
4e+10	4.15948	-37186
4e+10	4.17026	-39212
4e+10	4.18103	-40041
4e+10	4.19181	-33630
4e+10	4.20259	-35695
4e+10	4.21336	-42603
4e+10	4.22414	-49407
4e+10	4.23491	-51230
4e+10	4.24569	-49288
4e+10	4.25647	-39526
4e+10	4.26724	-40369
4e+10	4.27802	-38813
4e+10	4.28879	-48445
4e+10	4.29957	-41634
4e+10	4.31034	-39429
4e+10	4.32112	-37613
4e+10	4.3319	-45523
4e+10	4.34267	-40729
4e+10	4.35345	-37902
4e+10	4.36422	-41519
4e+10	4.375	-33099
4e+10	4.38578	-43965
4e+10	4.39655	-38403
4e+10	4.40733	-31230
4e+10	4.4181	-35607
4e+10	4.42888	-39756
4e+10	4.43966	-38133
4e+10	4.45043	-35130
4e+10	4.46121	-32845
4e+10	4.47198	-31794
4e+10	4.48276	-37500
4e+10	4.49353	-46415
4e+10	4.50431	-43044
4e+10	4.51509	-31191
4e+10	4.52586	-26941
4e+10	4.53664	-26883
4e+10	4.54741	-30424
4e+10	4.55819	-31752
4e+10	4.56897	-34023
4e+10	4.57974	-35884
4e+10	4.59052	-37838
4e+10	4.60129	-33709
4e+10	4.61207	-33946
4e+10	4.62284	-36267
4e+10	4.63362	-36989
4e+10	4.6444	-34022
4e+10	4.65517	-30390
4e+10	4.66595	-28320
